,Unnamed: 0,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,restricted_access,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,cng_has_rng,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lng_has_rng,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blends,rd_blends_fr,rd_blended_with_biodiesel,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids,federal_agency
10,6,public,Mon 7:00am - 9:00pm; Tue 7:00am - 9:00pm; Wed 7:00am - 9:00pm; Thu 7:00am - 9:00pm; Fri 7:00am - 9:00pm; Sat 7:00am - 9:00pm; Sun 7:00am - 9:00pm,,,2023-05-01,,ELEC,Public,190518.0,2021-05-23,,E,False,"Kohl's Glendora, CA",888-264-2208,2023-05-01T01:46:15Z,,GPS,34.1172865,-117.8328935,Glendora,,,CA,1225 S Lone Hill Ave,91740.0,US,,,,,,,,,,,,['J1772'],,,2.0,Volta,https://voltacharging.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['ec7f3f9d-a176-489f-b813-3ba33b11ea18'], 'posts': ['200bccd9-1df3-47cc-862a-369567a5c9a0', 'df549b46-7d37-4916-8d6b-d1ab8e2b7ab4']}",
11,7,public,24 hours daily,,,2023-05-01,,ELEC,Public,223515.0,2022-07-15,,E,,TOYOTA GLENDORA SERVICE 1,888-758-4389,2023-05-01T00:41:58Z,,GPS,34.11809,-117.825541,Glendora,,,CA,1949 Auto Centre Dr,91740.0,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL12826891'], 'posts': ['22098421']}",
12,8,public,24 hours daily,,,2023-05-01,,ELEC,Public,223709.0,2022-07-19,,E,,TOYOTA GLENDORA MONUM UNIT CT4K,888-758-4389,2023-05-01T00:42:37Z,,GPS,34.118593,-117.826286,Glendora,,,CA,1949 Auto Centre Dr,91740.0,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL12922611'], 'posts': ['22209501']}",
13,0,private,Service center use only,,,2022-08-10,,ELEC,Private,48727.0,2012-02-01,P,E,,Camino Real Chevrolet,,2023-02-15T22:45:41Z,CAR_DEALER,200-9,34.036123,-118.148995,Monterey Park,,,CA,2401 S Atlantic Blvd,91754.0,US,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
14,1,public,8am-5pm M-F,,,2022-08-10,,ELEC,Public,63060.0,2014-08-01,LG,E,False,Los Angeles County Sheriff - Headquarters,323-267-2023,2023-02-14T15:54:11Z,MUNI_GOV,200-9,34.060685,-118.168137,Monterey Park,,,CA,4700 Ramona Blvd,91754.0,US,,,,,,,,,,,,['J1772'],,,2.0,POWERFLEX,https://www.powerflex.com,,$0.30 per kWh; $0.45 per kWh from 4pm-9pm,,,,,,,,,,,,,,,,,,,,,,Public,,,
15,2,public,Parking garage hours; permit required,,,2022-08-10,,ELEC,Public,169310.0,2020-11-09,P,E,True,East Los Angeles College - Parking Structure 3,323-265-8650,2023-02-14T15:54:11Z,PARKING_GARAGE,GPS,34.040986,-118.150683,Monterey Park,,,CA,1301 Avenida Cesar Chavez,91754.0,US,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,
16,3,public,24 hours daily,,,2023-05-01,,ELEC,Public,171396.0,2021-01-20,,E,,"Ralphs 715 (Monterey Park, CA)",833-632-2778,2023-05-01T00:54:09Z,,GPS,34.06601,-118.13393,Monterey Park,,,CA,330 N ATLANTIC BLVD EV,91754.0,US,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",4.0,,,Electrify America,https://www.electrifyamerica.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['210077'], 'posts': ['210077-01', '210077-02', '210077-03', '210077-04']}",
17,4,public,24 hours daily,,,2023-04-30,,ELEC,Public,236595.0,2022-11-24,,E,,Monterey Park,877-455-3833,2023-04-30T23:55:47Z,,GPS,34.05953,-118.12661,Monterey Park,,,CA,320 W Newmark Ave,91754.0,US,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,eVgo Network,https://www.evgo.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['16'], 'posts': ['100562']}",
18,0,public,24 hours daily,,,2023-05-01,,ELEC,Public,159775.0,2020-06-12,,E,,BELL SOUTH BAY STATION 1,888-758-4389,2023-05-01T00:14:30Z,,GPS,33.928823,-118.377776,Inglewood,,,CA,11622 Aviation Blvd,90304.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL215719'], 'posts': ['293439', '293441']}",
19,1,private,Employee use only,,,2022-08-10,,ELEC,Private,205726.0,2021-07-21,LG,E,,Los Angeles County - Sheriff Lennox Central Patrol,,2023-02-14T15:54:11Z,MUNI_GOV,GPS,33.938903,-118.351911,Lennox,,,CA,4331 Lennox Blvd,90304.0,US,,,,,,,,,,,,['J1772'],,,2.0,POWERFLEX,https://www.powerflex.com,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
20,2,public,24 hours daily,,,2023-05-01,,ELEC,Public,255538.0,2023-03-03,,E,,I-WOOD IWOOD LIVE,888-758-4389,2023-05-01T00:46:49Z,,GPS,33.945844,-118.362119,Inglewood,,,CA,4821 W Century Blvd,90304.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL13489461'], 'posts': ['22861251', '22861261']}",
21,0,public,24 hours daily; parking permit required,,,2021-10-12,,ELEC,Public,49133.0,2012-07-16,P,E,True,John T Lyle Center for Regenerative Studies,909-869-3061,2023-04-28T21:04:30Z,COLLEGE_CAMPUS,GPS,34.049341,-117.82341,Walnut,,,CA,4105 University S Dr,91768.0,US,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,,
22,1,public,24 hours daily; parking permit required for use,,,2021-07-14,,ELEC,Public,53910.0,2013-08-26,P,E,True,California State Polytechnic University - Parking Structure 2,909-869-7659,2023-04-28T21:06:03Z,COLLEGE_CAMPUS,GPS,34.051634,-117.820001,Pomona,,,CA,3801 W Temple Ave,91768.0,US,,,,,,,,,,,,['J1772'],,,24.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Public,,,
23,2,public,24 hours daily; parking permit required; 4 hour limit,,,2021-07-14,,ELEC,Public,155515.0,2020-04-14,P,E,False,California State Polytechnic University - Parking Lot H,909-869-3061,2023-04-25T21:59:49Z,COLLEGE_CAMPUS,GPS,34.061071,-117.818795,Pomona,,,CA,3801 W Temple Ave,91768.0,US,,,,,,,,,,,,"['J1772', 'NEMA520']",,7.0,15.0,Non-Networked,,,$8 per day for a parking permit,,,,,,,,,,,,,,,,,,,,,,Public,,,
24,3,public,24 hours daily,,,2023-05-01,,ELEC,Public,158687.0,2020-06-12,,E,,H&S ENERGY H&S#23 CHEVRON,888-758-4389,2023-05-01T00:25:40Z,,GPS,34.046069,-117.802596,Pomona,,,CA,3190 W Temple Ave,91768.0,US,,,,,,,,,,,,"['CHADEMO', 'J1772COMBO']",1.0,,,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL2040791'], 'posts': ['2423691']}",
25,0,public,24 hours daily; pay lot; see valet for access; Drivers must bring their own J1772 cordset for Level 1 charging,CALL,,2022-09-14,,ELEC,Public - Call ahead,7242.0,1998-05-30,P,E,False,Universal City Hilton,818-506-2500,2023-02-14T15:54:11Z,HOTEL,200-8,34.138717,-118.35904,Universal City,,,CA,333 Universal Terrace Pkwy,91608.0,US,,,,,,,,,,,,['NEMA520'],,1.0,,Non-Networked,,,Free,,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
26,1,public,24 hours daily,,,2023-05-01,,ELEC,Public,160124.0,2020-06-12,,E,,STUDIO BNC,888-758-4389,2023-05-01T00:12:07Z,,GPS,34.142358,-118.358434,Universal City,,,CA,"4050 Lankershim Blvd, Studio City, CA 91604",91608.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL175003'], 'posts': ['22321671', '22321681']}",
27,2,public,24 hours daily,,,2023-05-01,,ELEC,Public,160133.0,2020-06-12,,E,,STUDIO 2160-STATION 06,888-758-4389,2023-05-01T00:12:06Z,,GPS,34.1426,-118.359305,Universal City,,,CA,2160 Parking Garage,91608.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL174599'], 'posts': ['2442701', '2442711']}",
28,3,public,24 hours daily,,,2023-05-01,,ELEC,Public,160135.0,2020-06-12,,E,,STUDIO 1360-STATION 06,888-758-4389,2023-05-01T00:12:05Z,,GPS,34.139,-118.360628,Universal City,,,CA,1360 Parking Garage,91608.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL174453'], 'posts': ['234155', '234157']}",
29,4,public,24 hours daily,,,2023-05-01,,ELEC,Public,160328.0,2020-06-12,,E,,10UCP PRKG LVL 5 - D,888-758-4389,2023-05-01T00:10:42Z,,GPS,34.137598,-118.361223,Universal City,,,CA,10 Universal Hollywood Dr,91608.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL152307'], 'posts': ['203021', '203023']}",
30,5,public,,,,2022-10-06,,ELEC,Public,169231.0,2015-12-18,P,E,,Universal Studios Hollywood - Tesla Destination,  877-798-3752,2023-01-18T15:15:20Z,,GPS,34.138117,-118.353378,Universal City,,,CA,8039 Universal City Plaza,91608.0,US,,,,,,,,,,,,"['J1772', 'TESLA']",,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,,,,,,,Public,,{'station': ['499702']},
31,6,public,24 hours daily,,,2023-05-01,,ELEC,Public,178447.0,2021-01-27,,E,,STUDIO 2160-STATION 04,888-758-4389,2023-05-01T00:08:47Z,,GPS,34.142595,-118.35928,Universal City,,,CA,2160 Parking Garage,91608.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL123341'], 'posts': ['2442681', '2442691']}",
32,7,public,24 hours daily,,,2023-05-01,,ELEC,Public,178448.0,2021-01-27,,E,,STUDIO 2160-STATION 02,888-758-4389,2023-05-01T00:08:47Z,,GPS,34.142589,-118.359224,Universal City,,,CA,2160 Parking Garage,91608.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL123339'], 'posts': ['1023291', '1023301']}",
33,8,public,24 hours daily,,,2023-05-01,,ELEC,Public,178449.0,2021-01-27,,E,,STUDIO 2160-STATION 05,888-758-4389,2023-05-01T00:08:47Z,,GPS,34.142595,-118.359294,Universal City,,,CA,2160 Parking Garage,91608.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL123235'], 'posts': ['2442721', '2442731']}",
34,9,public,24 hours daily,,,2023-05-01,,ELEC,Public,178450.0,2021-01-27,,E,,STUDIO 2160-STATION 01,888-758-4389,2023-05-01T00:08:24Z,,GPS,34.142577,-118.359192,Universal City,,,CA,2160 Parking Garage,91608.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL120831'], 'posts': ['1044011', '1044021']}",
35,10,public,24 hours daily,,,2023-05-01,,ELEC,Public,178451.0,2021-01-27,,E,,STUDIO 2160-STATION 03,888-758-4389,2023-05-01T00:08:44Z,,GPS,34.142595,-118.359248,Universal City,,,CA,2160 Parking Garage,91608.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL123037'], 'posts': ['1023381', '1023391']}",
36,11,public,24 hours daily,,,2023-05-01,,ELEC,Public,178455.0,2021-01-27,,E,,STUDIO 1360-STATION 05,888-758-4389,2023-05-01T00:12:05Z,,GPS,34.138998,-118.360616,Universal City,,,CA,1360 Parking Garage,91608.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL174447'], 'posts': ['234143', '234145']}",
37,12,public,24 hours daily,,,2023-05-01,,ELEC,Public,178795.0,2021-01-27,,E,,10UCP PRKG LVL 5 - E,888-758-4389,2023-05-01T00:10:41Z,,GPS,34.137514,-118.361302,Universal City,,,CA,10 Universal Hollywood Dr,91608.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL152305'], 'posts': ['2514281', '2514291']}",
38,13,public,24 hours daily,,,2023-05-01,,ELEC,Public,178796.0,2021-01-27,,E,,10UCP PRKG LVL 5 - C,888-758-4389,2023-05-01T00:08:47Z,,GPS,34.137638,-118.36125,Universal City,,,CA,10 Universal Hollywood Dr,91608.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL123313'], 'posts': ['159997', '159999']}",
39,14,public,24 hours daily,,,2023-05-01,,ELEC,Public,178797.0,2021-01-27,,E,,10UCP PRKG LVL 5 - B,888-758-4389,2023-05-01T00:08:24Z,,GPS,34.137955,-118.361266,Universal City,,,CA,10 Universal Hollywood Dr,91608.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL120837'], 'posts': ['978561', '978571']}",
40,15,public,24 hours daily,,,2023-05-01,,ELEC,Public,178798.0,2021-01-27,,E,,10UCP PRKG LVL 5 - A,888-758-4389,2023-05-01T00:05:50Z,,GPS,34.138135,-118.361209,Universal City,,,CA,10 Universal Hollywood Dr,91608.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL101405'], 'posts': ['118889', '118891']}",
41,16,private,Vehicles must have wireless charging capabilities,,,2022-08-10,,ELEC,Private,223860.0,2021-06-04,P,E,,Universal Studio Tour,,2023-02-14T15:54:11Z,PARKING_LOT,GPS,34.139038,-118.3527,Los Angeles,100 Universal City Plaza and Kirk Douglas Dr,,CA,100 Universal City Plaza,91608.0,US,,,,,,,,,,,,,8.0,,,WAVE,https://waveipt.com/,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
42,0,private,,,,2020-05-06,,ELEC,Private,123239.0,2019-04-01,P,E,,Maywood Academy High School,,2021-03-11T23:22:17Z,SCHOOL,200-9,33.983173,-118.18904,Maywood,,,CA,6125 Pine Ave,90270.0,US,,,,,,,,,,,,['J1772'],,,6.0,EV Connect,http://evconnect.com/,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
43,0,public,Garage business hours,,,2022-08-10,,ELEC,Public,67305.0,2021-08-03,LG,E,False,Los Angeles County - Harbor UCLA Medical Center,,2023-02-14T15:54:11Z,HOSPITAL,GPS,33.828186,-118.290921,Torrance,Lot D Ground Floor,,CA,1000 W Carson St,90502.0,US,,,,,,,,,,,,['J1772'],,,7.0,POWERFLEX,https://www.powerflex.com,,$0.45 per kWh from 4pm-9pm; $0.30 per kWh at all other times,,,,,,,,,,,,,,,,,,,,,,Public,,,
44,1,private,,,,2022-08-10,,ELEC,Private,82328.0,2018-06-30,P,E,,Los Angeles County - Harbor UCLA Medical Center,,2023-02-14T15:54:11Z,HOSPITAL,200-9,33.831538,-118.294546,Torrance,Med Center Drive Building F9,,CA,1000 W Carson St,90502.0,US,,,,,,,,,,,,['J1772'],,,24.0,Non-Networked,,,,,,,,,,,,,,,,,,,,,,,,,Privé,,,
45,2,public,Mon 12:00am - 12:00am; Tue 12:00am - 12:00am; Wed 12:00am - 12:00am; Thu 12:00am - 12:00am; Fri 12:00am - 12:00am; Sat 12:00am - 12:00am; Sun 12:00am - 12:00am,,,2023-05-01,,ELEC,Public,213176.0,2022-04-01,,E,,KNOX STATION 1,888-758-4389,2023-05-01T00:11:35Z,,GPS,33.853754,-118.286921,Torrance,,,CA,680 Knox St,90502.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL163071'], 'posts': ['217891', '217893']}",
46,3,public,24 hours daily,,,2023-05-01,,ELEC,Public,255685.0,2023-03-09,,E,,THE ENCLAVE RETAIL CENTER 2,888-758-4389,2023-05-01T00:46:43Z,,GPS,33.829634,-118.298244,Torrance,,,CA,980 W 190th St,90502.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL13478651'], 'posts': ['22848951', '22848961']}",
47,4,public,24 hours daily,,,2023-05-01,,ELEC,Public,255686.0,2023-03-09,,E,,THE ENCLAVE RETAIL CENTER 1,888-758-4389,2023-05-01T00:46:44Z,,GPS,33.857311,-118.294011,Torrance,,,CA,980 W 190th St,90502.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL13478761'], 'posts': ['22849111', '22849121']}",
48,5,public,24 hours daily,,,2023-05-01,,ELEC,Public,256878.0,2023-03-23,,E,,THE ENCLAVE STATION 5385,888-758-4389,2023-05-01T00:46:44Z,,GPS,33.857328,-118.293807,Torrance,,,CA,980 W 190th St,90502.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL13478721'], 'posts': ['22849061', '22849071']}",
49,6,public,24 hours daily,,,2023-05-01,,ELEC,Public,256889.0,2023-03-23,,E,,THE ENCLAVE STATION 4592,888-758-4389,2023-05-01T00:46:48Z,,GPS,33.85732,-118.293903,Torrance,,,CA,980 W 190th St,90502.0,US,,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL13489171'], 'posts': ['22860951']}",
50,7,public,24 hours daily,,,2023-05-01,,ELEC,Public,256890.0,2023-03-23,,E,,THE ENCLAVE STATION 5392,888-758-4389,2023-05-01T00:46:48Z,,GPS,33.857373,-118.293753,Torrance,,,CA,980 W 190th St,90502.0,US,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL13489181'], 'posts': ['22860961', '22860971']}",
